Codigo,Descripcion,Stock_Min_Definido,Stock_Max_Definido,Stock_Admin_Calculado,Total_en_Lotes,Diferencia_Fisica
MP01D20X02                    ,Compuesto 06,0.0,0.0,48.995,3.405,3.405
MP01D21X06                    ,Compuesto 10,0.0,0.0,30.2545,3.226,3.226
MP01D18X03                    ,Compuesto 07,0.0,0.0,104.76062,2.51,2.51
MP01N00X003                   ,CHAMPIÑONES  KG,0.0,0.0,,2.0,2.0
PT04D17X001                   ,Delicias de Belén Mermelada Varietal Piña 250g,0.0,0.0,11475.0,2.0,2.0
MP01D14X11                    ,Compuesto 15,0.0,0.0,11.93,1.631,1.631
MP01D15X08                    ,Compuesto 12,0.0,0.0,18.1524,1.0,1.0
MP01D43X07                    ,Compuesto 11,0.0,0.0,27.13,1.0,1.0
MP01N00X033                   ,DURAZNO KG,0.0,0.0,4084.9,0.81,0.81
MP01D23X09                    ,Compuesto 13,0.0,0.0,30.14,0.012,0.012
